,GHI,DNI,DHI,Tamb
count,516143.0,516143.0,516143.0,516143.0
mean,238.57467736653894,164.86574573324728,115.78479181157319,28.17720302319403
std,327.96322967037554,259.57601351242533,156.80870936913988,5.942776514393143
min,0.0,0.0,0.0,11.0
25%,0.0,0.0,0.0,24.2
50%,0.8,0.0,0.6,28.0
75%,472.1,305.3,214.0,32.3
max,1268.0,952.3,759.2,43.8
