,GHI,DNI,DHI,Tamb
count,471407.0,471407.0,471407.0,471407.0
mean,135.39277036616042,66.16731953493489,94.00277509668021,25.725038660861724
std,211.9177055659236,152.74617120487102,143.41547980761533,4.148143737904135
min,0.0,0.0,0.0,12.3
25%,0.0,0.0,0.0,23.0
50%,0.0,0.0,0.0,24.7
75%,233.2,8.8,171.4,28.2
max,1015.0,891.0,738.8,39.9
